Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",37.365000,21.872000,-90.000000,top
"C2","22u","C_0805_2012Metric",23.657600,14.986000,0.000000,top
"C3","22u","C_0805_2012Metric",23.647400,16.967200,180.000000,top
"C4","1u","C_0805_2012Metric",6.791400,11.938000,0.000000,top
"C5","100n","C_0603_1608Metric",7.506000,22.733000,0.000000,top
"C6","100n","C_0402_1005Metric",10.192200,12.473600,0.000000,top
"C7","100n","C_0402_1005Metric",54.800000,9.525000,180.000000,top
"C8","100n","C_0402_1005Metric",32.893000,11.382000,90.000000,top
"C9","100n","C_0603_1608Metric",20.473600,14.986000,180.000000,top
"C10","1u","C_0805_2012Metric",17.780000,11.725000,-90.000000,top
"C12","100n","C_0402_1005Metric",12.689400,16.944000,180.000000,top
"D1","SML-310PT","LED_0603_1608Metric",47.244000,1.701800,-90.000000,top
"D2","SML-310PT","LED_0603_1608Metric",3.175000,17.280000,180.000000,top
"D3","SML-310MTT86","LED_0603_1608Metric",3.175000,20.193000,180.000000,top
"D4","SML-310MTT86","LED_0603_1608Metric",3.175000,14.351000,180.000000,top
"F1","0.5A","Fuse_0603_1608Metric",7.646100,9.525000,0.000000,top
"J2","USB4105-GF-A-120","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",12.820000,3.675000,0.000000,top
"R1","3.9K","R_0402_1005Metric",42.572000,22.352000,180.000000,top
"R2","3.9K","R_0402_1005Metric",42.574000,21.082000,180.000000,top
"R3","5.1K","R_0402_1005Metric",42.574000,19.812000,180.000000,top
"R4","10","R_0402_1005Metric",13.450000,22.350000,-90.000000,top
"R5","10","R_0402_1005Metric",10.910000,22.350000,-90.000000,top
"R6","1K","R_0402_1005Metric",5.818500,17.280000,0.000000,top
"R7","1K","R_0402_1005Metric",5.818500,20.193000,0.000000,top
"R8","1K","R_0402_1005Metric",5.818500,14.351000,0.000000,top
"R10","5.1K","R_0402_1005Metric",11.049000,10.058400,-90.000000,top
"R11","5.1K","R_0402_1005Metric",15.080000,9.657000,180.000000,top
"R15","1K","R_0402_1005Metric",44.702000,5.715000,0.000000,top
"R16","0","R_0402_1005Metric",58.039000,7.495000,-90.000000,top
"R17","0","R_0402_1005Metric",57.023000,7.495000,90.000000,top
"R18","0","R_0402_1005Metric",58.039000,5.209000,-90.000000,top
"R19","0","R_0402_1005Metric",57.023000,5.205000,-90.000000,top
"R20","0","R_0402_1005Metric",31.457000,18.161000,180.000000,top
"R21","0","R_0402_1005Metric",29.538200,18.161000,180.000000,top
"R22","0","R_0402_1005Metric",33.020000,17.137000,-90.000000,top
"R23","0","R_0402_1005Metric",33.020000,15.263400,-90.000000,top
"U1","CAT24C256","TSSOP-8_4.4x3mm_P0.65mm",39.807000,19.489500,90.000000,top
"U4","CH340X","MSOP-10_3x3mm_P0.5mm",12.938000,14.732000,180.000000,top
"U5","CAT24C256","TSSOP-8_4.4x3mm_P0.65mm",30.622000,13.764500,-90.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",22.707600,9.525000,-90.000000,top
"U8","TMP1075D","SO-8_3.9x4.9mm_P1.27mm",52.705000,6.350000,0.000000,top
